name,alt_standard_price,default_code,profit_margin_1,profit_margin_2,profit_margin_3,profit_margin_4,freight_1,freight_2,freight_3,freight_4
(06240077) motor condensador universal 220v 100w ypy-100-4,"40,13",06240054,"0,7","0,7","0,8","0,81","0,85","0,85","0,85","0,85"
(12220006) filtro cartucho 10 pulg 1 micras gb-11 celulosa,"1,81",12220002,"0,7","0,75","0,8","0,81","0,85","0,85","0,85","0,85"
(tel01) tableros electronicos lamina de acero espejo calibre 26,0,TELA01,"0,8","0,8","0,85","0,86","0,85","0,85","0,85","0,85"
"(telg0) tableros electronicos lamina galbanizada 0,45 m",0,TELG02,"0,8","0,8","0,85","0,86","0,85","0,85","0,85","0,85"
Abocinador 1/4 pulg - 3/4 pulg especial para r-410a wipcool,"29,03",19050029,"0,8","0,8","0,85","0,86","0,85","0,85","0,85","0,85"
Abocinador 1/4 pulg - 3/4 pulg manual o para taladro wipcool,"39,22",19050028,"0,8","0,8","0,85","0,86","0,85","0,85","0,85","0,85"
Abocinador 1/4 pulg - 7/8 pulg sin corta tubo rtk 103 - ct-806,"10,04",19050001,"0,8","0,8","0,85","0,86","0,85","0,85","0,85","0,85"
Abocinador 1/8 pulg - 3/4 pulg con expansores rgc,"14,09",19050003,"0,8","0,8","0,85","0,86","0,85","0,85","0,85","0,85"
Abocinador 1/8 pulg - 3/4 pulg sin corta tubo ct-275 ct-8032,20,19050004,"0,8","0,8","0,85","0,86","0,85","0,85","0,85","0,85"
Abocinador 3/16 pulg - 3/4 pulg con corta tubo expansores y ratchet ct-278 rgc,"19,35",19050009,"0,8","0,8","0,85","0,86","0,85","0,85","0,85","0,85"
Abocinador 3/16 pulg - 5/8 pulg con cortatubo rgc,"8,93",19050002,"0,8","0,8","0,85","0,86","0,85","0,85","0,85","0,85"
Abocinador 5/8 pulg - 1 1/8 pulg sin corta tubo ft-103 - ct-203,"12,5",19050012,"0,8","0,8","0,85","0,86","0,85","0,85","0,85","0,85"
Abocinador electrico multiple 1/4 3/8 1/2 5/8 3/4 pulg st-e900a rgc,0,19050020,0,0,0,0,"0,9","0,9","0,9","0,9"
Abocinador multiple 3/16 1/4 3/8 1/2 5/8 pulg ct-500,"10,24",19050015,"0,8","0,8","0,85","0,86","0,85","0,85","0,85","0,85"
Abrazadera 10-12 mm 1/2-5/8 pulg,2,01100002,"0,8","0,85","0,9","0,91","0,9","0,9","0,9","0,9"
Abrazadera 18000-24000 btu grip lock size 2,"0,9",06500012,"0,7","0,7","0,8","0,81","0,85","0,85","0,85","0,85"
Abrazadera 30000-36000 btu grip lock size 3,"0,9",06500013,"0,7","0,7","0,8","0,81","0,85","0,85","0,85","0,85"
Abrazadera 48000-60000 btu grip lock size 4,"0,9",06500014,"0,7","0,7","0,8","0,81","0,85","0,85","0,85","0,85"
Abrazadera 6-8 mm 5/16-13/32 pulgadas,"0,51",01100001,"0,8","0,85","0,9","0,91","0,9","0,9","0,9","0,9"
Abrazadera 9000-12000 btu grip lock size 1,0,06500011,"0,7","0,7","0,8","0,81","0,85","0,85","0,85","0,85"
Aceite 3 x 1 uso multiple compresor oil 30 ml,"0,79",12100050,"0,8","0,8","0,9","0,91","0,85","0,85","0,85","0,85"
Aceite 3 x 1 uso multiple compresor oil 90 ml,"0,97",12100054,"0,8","0,8","0,9","0,91","0,85","0,85","0,85","0,85"
Aceite bomba de vacio 473 ml bva vac 235,"0,75",12100001,"0,8","0,8","0,9","0,91","0,85","0,85","0,85","0,85"
Aceite bomba de vacio 500 ml wipcool,"3,82",12100003,"0,8","0,8","0,9","0,91","0,85","0,85","0,85","0,85"
Aceite bomba de vacio 8 oz  genetron,"1,5",12100002,"0,8","0,8","0,9","0,91","0,85","0,85","0,85","0,85"
Aceite litro olio plus 20w50 rbv pote transparente,"2,93",12100040,"0,8","0,8","0,9","0,91","0,85","0,85","0,85","0,85"
Aceite mineral 150 galon r-22 texas,"15,57",12100083,"0,8","0,8","0,85","0,86","0,85","0,85","0,85","0,85"
Aceite mineral 150 lts r-22 texas,"3,9",12100081,"0,8","0,8","0,85","0,86","0,85","0,85","0,85","0,85"
Aceite mineral 300 galon r-22 texas,"16,47",12100088,"0,8","0,8","0,85","0,86","0,85","0,85","0,85","0,85"
Aceite mineral 300 lts r-22 texas,"4,12",12100086,"0,8","0,8","0,85","0,86","0,85","0,85","0,85","0,85"
Aceite mineral galon r-22 enkarate 68 usa original,29,12100006,"0,8","0,8","0,9","0,91","0,85","0,85","0,85","0,85"
Aceite mineral galon r-22 iso capella chevron 68,0,12100008,"0,7","0,75","0,8","0,81","0,9","0,9","0,9","0,9"
Aceite mineral galon r-22 suniso 150 3gs - bva 3uvg economico,"10,5",12100011,"0,8","0,8","0,9","0,91","0,85","0,85","0,85","0,85"
Aceite mineral galon r-22 suniso 150 3gs - bva 3uvg original,23,12100052,"0,8","0,8","0,9","0,91","0,85","0,85","0,85","0,85"
Aceite mineral galon r-22 suniso 300 4gs - bva 4uvg economico,"10,5",12100012,"0,8","0,8","0,9","0,91","0,85","0,85","0,85","0,85"
Aceite mineral galon r-22 suniso 300 4gs - bva 4uvg original,28,12100053,"0,8","0,8","0,9","0,91","0,85","0,85","0,85","0,85"
Aceite mineral galon r-22 texaco capella wf 32 usa original,23,12100046,"0,8","0,8","0,9","0,91","0,85","0,85","0,85","0,85"
Aceite mineral galon r-22 texaco capella wf 68 usa original,14,12100013,"0,8","0,8","0,9","0,91","0,85","0,85","0,85","0,85"
Aceite mineral galon r-22 venoco 68,"12,5",12100028,"0,8","0,8","0,9","0,91","0,85","0,85","0,85","0,85"
Aceite mineral lts r-12 system-frio cark 32,"6,6",12100015,"0,8","0,8","0,9","0,91","0,85","0,85","0,85","0,85"
Aceite mineral lts r-22 compresor oil h-s 68,"2,97",12100007,"0,8","0,8","0,9","0,91","0,85","0,85","0,85","0,85"
Aceite mineral lts r-22 frio max 32,"5,18",12100014,"0,8","0,8","0,9","0,91","0,85","0,85","0,85","0,85"
Aceite mineral lts r-22 frio max 68,"5,42",12100016,"0,8","0,8","0,9","0,91","0,85","0,85","0,85","0,85"
Aceite mineral lts r-22 system-frio cark 68,"6,6",12100017,"0,8","0,8","0,9","0,91","0,85","0,85","0,85","0,85"
Aceite mineral lts r22 capell iso tx-32 946 cm3,"4,21",12100039,"0,8","0,8","0,9","0,91","0,85","0,85","0,85","0,85"
Aceite mineral lts r22 capell iso tx-68 946 cm3,"4,21",12100038,"0,8","0,8","0,9","0,91","0,85","0,85","0,85","0,85"
Aceite mineral tambor de 208lts capell-oil tx-iso-68,890,12100047,"0,8","0,8","0,9","0,91","0,85","0,85","0,85","0,85"
Aceite pag-150 8oz con uv r-134a texas,"3,31",12100101,"0,8","0,8","0,9","0,91","0,85","0,85","0,85","0,85"
Aceite polyol ester 32 8oz r-134a r-404a nevera texas,"2,21",12100090,"0,8","0,8","0,9","0,91","0,85","0,85","0,85","0,85"
Aceite polyol ester 32 lts r-134a r-404atexas,"8,67",12100091,"0,8","0,8","0,85","0,86","0,85","0,85","0,85","0,85"
Aceite polyol ester 68 galon r-134a r-404a texas,"35,04",12100098,"0,8","0,8","0,85","0,86","0,85","0,85","0,85","0,85"
Aceite polyol ester 68 lts r-134a r-404a texas,"8,76",12100096,"0,8","0,8","0,85","0,86","0,85","0,85","0,85","0,85"
Aceite polyol ester 8 oz r-134a compresor oil 32 sin uv nevera,"1,72",12100049,"0,8","0,8","0,9","0,91","0,85","0,85","0,85","0,85"
