id,default_code,alt_standard_price,pricelist_item_type_1_margin,pricelist_item_type_2_margin,pricelist_item_type_3_margin,pricelist_item_type_4_margin,pricelist_item_type_5_margin,pricelist_item_type_1_freight,pricelist_item_type_2_freight,pricelist_item_type_3_freight,pricelist_item_type_4_freight,pricelist_item_type_5_freight
__export__.product_product_3166_46fc2940,01100001,"0,51","0,80","0,85","0,90","0,91","0,00","0,90","0,90","0,90","0,90","0,00"
__export__.product_product_3167_49a32e4a,01100002,"2,00","0,80","0,85","0,90","0,91","0,00","0,90","0,90","0,90","0,90","0,00"
__export__.product_product_3168_0ff796fa,01160001,"7,75","0,85","0,90","0,90","0,91","0,00","0,85","0,85","0,85","0,85","0,00"
__export__.product_product_3169_2b84917c,01160002,"2,69","0,85","0,90","0,90","0,91","0,00","0,85","0,85","0,85","0,85","0,00"
__export__.product_product_3170_2eb3842e,01160003,"4,05","0,85","0,90","0,90","0,91","0,00","0,85","0,85","0,85","0,85","0,00"
__export__.product_product_3171_184308c0,01160004,"3,23","0,85","0,90","0,90","0,91","0,00","0,85","0,85","0,85","0,85","0,00"
__export__.product_product_3172_e796d63e,01160007,"0,30","0,85","0,90","0,90","0,91","0,00","0,85","0,85","0,85","0,85","0,00"
__export__.product_product_3173_7bc3c0dd,01160008,"0,25","0,85","0,90","0,90","0,91","0,00","0,85","0,85","0,85","0,85","0,00"
__export__.product_product_3174_61db6e0a,01160009,"0,00","0,80","0,85","0,90","0,91","0,00","0,90","0,90","0,90","0,90","0,00"
__export__.product_product_3175_bb6e32b0,01180001,"11,10","0,85","0,90","0,90","0,91","0,00","0,85","0,85","0,85","0,85","0,00"
__export__.product_product_3176_7d27cc2d,01200001,"30,00","0,85","0,90","0,90","0,91","0,00","0,85","0,85","0,85","0,85","0,00"
__export__.product_product_3177_af8fb9cf,01200002,"23,49","0,85","0,90","0,90","0,91","0,00","0,85","0,85","0,85","0,85","0,00"
__export__.product_product_3178_87e60a72,01200004,"30,40","0,85","0,90","0,90","0,91","0,00","0,85","0,85","0,85","0,85","0,00"
__export__.product_product_3179_42931c88,01200005,"28,76","0,85","0,90","0,90","0,91","0,00","0,85","0,85","0,85","0,85","0,00"
__export__.product_product_3180_0695848c,01200006,"30,40","0,85","0,90","0,90","0,91","0,00","0,85","0,85","0,85","0,85","0,00"
