id,default_code
__export__.product_template_4391_7d54f3a7,01100002
__export__.product_template_4390_f73ef737,01100001
__export__.product_template_8367_a930e2be,12100083
__export__.product_template_8366_6e005d78,12100081
__export__.product_template_8369_f954add2,12100088
__export__.product_template_8368_c2b46951,12100086
__export__.product_template_8356_0f772eb6,12100047
__export__.product_template_8343_bbcd1b90,12100026
__export__.product_template_8364_3d8e63b9,12100062
__export__.product_template_8365_3454f36a,12100063
__export__.product_template_8362_105ab760,12100060
__export__.product_template_8363_6f716abd,12100061
__export__.product_template_4794_cd21cec3,01540004
__export__.product_template_4807_9de7d18a,01540027
__export__.product_template_4805_7d6583f8,01540022
__export__.product_template_4806_8f741510,01540026
__export__.product_template_4804_79d6a0e4,01540021
__export__.product_template_4792_2002f83e,01540002
__export__.product_template_4791_4fd8955e,01540001
__export__.product_template_4793_132587f0,01540003
__export__.product_template_5036_4ca01b1f,05700011
__export__.product_template_5035_68f4c5d8,05700010
__export__.product_template_5037_af177f94,05700012
__export__.product_template_5038_8af8ae42,05700013
__export__.product_template_5027_760b43dd,05700001
__export__.product_template_5029_ecbe31a1,05700003
__export__.product_template_5028_9924303d,05700002
__export__.product_template_5031_efb4b092,05700006
__export__.product_template_5033_f52083c9,05700008
__export__.product_template_5032_e00a6afa,05700007
__export__.product_template_5030_3d3d5b42,05700005
__export__.product_template_4968_c4b996e1,05300006
__export__.product_template_4972_3717dfc7,05300012
__export__.product_template_4967_8a92ac6c,05300005
__export__.product_template_4969_9622311b,05300007
__export__.product_template_4970_6f80f906,05300008
__export__.product_template_4966_cc98d293,05300004
__export__.product_template_4975_7a25e0e5,05300023
__export__.product_template_4976_31ae7e52,05300025
__export__.product_template_4973_91d5a3b8,05300017
__export__.product_template_4980_e9e406d7,05300047
__export__.product_template_4981_e9b51f6f,05300048
__export__.product_template_4964_fb625eb1,05300001
__export__.product_template_4965_28888cfc,05300002
__export__.product_template_4957_53edf06a,05100003
__export__.product_template_4959_b61da8ad,05100005
__export__.product_template_10500_9b77f261,19150007
__export__.product_template_10502_d636c671,19150009
__export__.product_template_10509_697958e9,19150017
__export__.product_template_10508_3a71ad12,19150016
